SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50258.*A,AIRPORT,GAL,9/20/12,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,GALENA,EDWARD G. PITKA SR,PU,PU,STATE OF ALASKA DOT & PF,"NORTHERN REGION, 2301 PEGER RD","FAIRBANKS, AK 99701",   907-451-52200,MARVIN THURMOND,BOX 9,"GALENA, AK 99741",    907-656-1236,64-44-10.2000N,233050.2000N,156-56-14.6000W,564974.6000W,E,153,S,17E,2010,,FAIRBANKS,0,NW,1250,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,PAGA,Y,9/1/47,O,,NGPY,NO OBJECTION,N,N,N,N,F,C,8292011,,100LLA,,,,,SEE RMK,SS-SR,N,,123,Y,CG,Y,,10,1,,,,,2,3000,,1000,4000,9000,2000,5/23/09,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE",CARGO,Y
50281.*A,AIRPORT,GKN,9/20/12,AAL,NONE,AK,ALASKA,VALDEZ-CHITNA-WHITIE,AK,GULKANA,GULKANA,PU,PU,STATE OF ALASKA DOT & PF,"NORTHERN REGION, 2301 PEGER RD","FAIRBANKS, AK 99701",    907-451-2200,JOHN HOFFMAN,BOX 7,"GLENNALLEN, AK 99588",    907-822-3222,62-09-17.8000N,223757.8000N,145-27-15.6000W,523635.6000W,E,1586,S,23E,2005,,ANCHORAGE,4,NE,1678,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,GKN,Y,7/1/47,O,,NGPY,NO OBJECTION,N,N,N,Y,F,C,10092010,,100LLA,MINOR,MINOR,NONE,NONE,,SEE RMK,N,,122.9,Y,CG,N,,11,2,0,0,,,,996,,540,1576,1855,155,12/31/06,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CARGO,Y-L
50284.*A,AIRPORT,GST,9/20/12,AAL,NONE,AK,ALASKA,SKAGWAY-YAKUTAT,AK,GUSTAVUS,GUSTAVUS,PU,PU,ST OF AK DOT SE REGION,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",    907-465-1786,MICHAEL PEDDERSEN,PO BOX 239,"GUSTAVUS, AK 99826",    907-697-2251,58-25-31.0000N,210331.0000N,135-42-26.7000W,488546.7000W,E,35,S,25E,2000,,JUNEAU,0,NE,1821,ZAN,ZAN,ANCHORAGE,,,,N,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,GST,Y,1/1/49,O,I A S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,6012012,5131983,100LLA,MINOR,MINOR,NONE,NONE,SS-SR,,N,,122.5,Y,CG,N,,17,1,,1,,,,200,,3300,200,2000,50,6/1/12,NGS,00:00.0,NGS,00:00.0,,,,Y
50308.*A,AIRPORT,HRR,9/20/12,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,HEALY,HEALY RIVER,PU,PU,STATE OF ALASKA,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-2200,TOM WILLIAMS,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-5280,63-52-03.3000N,229923.3000N,148-58-07.8000W,536287.8000W,E,1263,S,27E,1985,,ANCHORAGE,0,N,1294,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,HVI,Y,10/1/50,O,,NGY,NOT ANALYZED,N,N,N,Y,S,C,5302010,,,,,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,N,,6,1,0,0,,,,,,500,300,500,,12/31/05,NGS,00:00.0,NGS,00:00.0,,TIE,CHTR,Y-L
50320.*A,AIRPORT,HOM,9/20/12,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,HOMER,HOMER,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0767,KEVIN JONES,2336 KACHEMAK DR,"HOMER, AK 99603",    907-235-8872,59-38-44.0000N,214724.0000N,151-28-35.7000W,545315.7000W,E,84,S,24E,1985,800,SEWARD,2,E,1040,ZAN,ZAN,ANCHORAGE,,,,Y,HOM,HOMER,907-235-8588,LC235-8588,ENA,KENAI,1-866-864-1737,HOM,Y,5/1/47,O,I A S 04/1985,NGY,NO OBJECTION,N,N,N,Y,F,F,5042012,3222001,100LLA    B,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,84,4,,3,,,2,23017,,15704,6000,5000,100,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE",CARGO,Y-L
50385.*A,AIRPORT,JNU,9/20/12,AAL,NONE,AK,ALASKA,JUNEAU,AK,JUNEAU,JUNEAU INTL,PU,PU,CITY OF JUNEAU,155 S SEWARD,"JUNEAU, AK 99801",    907-789-7821,JEANNIE JOHNSON,"1873 SHELL SIMMONS DR, SUITE 201","JUNEAU, AK 99801",    907-789-7821,58-21-17.9000N,210077.9000N,134-34-34.6000W,484474.6000W,E,21,S,23E,2005,1500,JUNEAU,7,NW,653,ZAN,ZAN,ANCHORAGE,,,,Y,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,JNU,Y,11/1/41,O,I B S 04/2005,NGPSY,NO OBJECTION,Y,N,N,Y,F,F,11182011,,100LL80   A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.7,Y,CG,Y,,288,3,3,27,,3,1,8232,,63338,5776,12057,865,9/30/11,NGS,00:00.0,NGS,00:00.0,,HGR,CARGO,Y-L
50410.*A,AIRPORT,ENA,9/20/12,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,KENAI,KENAI MUNI,PU,PU,CITY OF KENAI,210 FIDALGO ST,"KENAI, AK 99611",    907-283-7951,MARY BONDURANT,305 N WILLOW SUITE 200,"KENAI, AK 99611",    907-283-7951,60-34-23.9044N,218063.9044N,151-14-41.2000W,544481.2000W,E,99,S,19E,2010,,ANCHORAGE,0,N,1200,ZAN,ZAN,ANCHORAGE,,,,Y,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ENA,Y,5/1/47,O,I A S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,12052011,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,Y,,121.3,Y,CG,N,,54,7,,,,,,1045,,23263,6326,6429,3115,12/1/11,REGION,00:00.0,REGION,00:00.0,,TIE,"CARGO,CHTR,INSTR,RNTL",Y-L
50412.03*A,AIRPORT,KTN,9/20/12,AAL,NONE,AK,ALASKA,KETCHIKAN GATEWAY,AK,KETCHIKAN,KETCHIKAN INTL,PU,PU,STATE OF AK DOTPF SE RGN,6860 GLACIER HIGHWAY,"JUNEAU, AK 99801-7999",    907-465-1786,MIKE CARNEY,1000 ARPT TERMINAL WAY,"KETCHIKAN, AK 99901",    907-225-6800,55-21-14.6700N,199274.6700N,131-42-40.3900W,474160.3900W,E,89,E,21E,2010,,KETCHIKAN,1,W,2600,ZAN,ZAN,ANCHORAGE,,,,Y,KTN,KETCHIKAN,907-225-9481,LC225-9481,JNU,JUNEAU,1-800-WX-BRIEF,KTN,Y,4/1/73,O,I B S 03/2005,NGY,NO OBJECTION,N,Y,N,Y,F,F,3302012,,100LLA,,,,,SEE RMK,SEE RMK,N,122.95,123.6,Y,CG,Y,,3,1,1,0,,,,5290,,9789,350,395,135,1/1/11,REGION,00:00.0,FAA-EST,00:00.0,,"HGR,TIE","BCHGR,CARGO",Y-L
50416.*A,AIRPORT,AKN,9/20/12,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,KING SALMON,KING SALMON,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,"ANCHORAGE, AK 99519-6900",    907-269-0751,KYLER HYLTON,PO BOX 65,"KING SALMON, AK 99613",    907-246-3325,58-40-35.3765N,211235.3765N,156-38-55.2876W,563935.2876W,E,73,S,16E,2010,,KODIAK,0,SE,5277,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,AKN,Y,8/1/54,O,I A S 03/2005,NGY,NO OBJECTION,N,N,Y,Y,F,F,7132012,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,,121.9,Y,CG,,,33,3,,3,,,,476,,10708,491,3118,514,12/31/11,FAA-EST,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L
50429.*A,AIRPORT,OTZ,9/20/12,AAL,NONE,AK,ALASKA,KOBUK,AK,KOTZEBUE,RALPH WIEN MEMORIAL,PU,PU,ST OF AK DOTPF-N REG,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-5250,CALVIN SCHAEFFER,BOX 55,"KOTZEBUE, AK 99752",    907-442-3147,66-53-04.9000N,240784.9000N,162-35-54.6000W,585354.6000W,E,14,S,15E,2010,,NOME,1,S,1480,ZAN,ZAN,ANCHORAGE,,,,Y,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,OTZ,Y,9/1/47,O,I B S 04/2005,NGSY,CONDITIONAL,N,N,N,Y,F,F,4222011,,100  A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,123.6,Y,CG,N,,40,12,,,,,,2000,,20000,7000,30000,1000,1/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50467.*A,AIRPORT,MCG,9/20/12,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,MCGRATH,MC GRATH,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO 196900,"ANCHORAGE, AK 99519-6900",    907-269-0782,DOUGLAS LYMAN,BOX 21,"MCGRATH, AK 99627",    907-524-3241,62-57-10.0200N,226630.0200N,155-36-25.3600W,560185.3600W,E,341,S,19E,2005,,MC GRATH,0,W,641,ZAN,ZAN,ANCHORAGE,,,,Y,MCG,MCGRATH,907-524-3611,LD524-3611,ENA,KENAI,1-866-864-1737,MCG,Y,8/1/47,O,,NGY,NO OBJECTION,N,N,N,Y,F,C,5172009,,100LLA1+,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,11,0,0,0,,,,,,9000,1000,1000,,5/17/09,STATE,00:00.0,STATE,00:00.0,,"HGR,TIE",CARGO,Y-L
50488.5*A,AIRPORT,MYU,9/20/12,AAL,NONE,AK,ALASKA,BETHEL,AK,MEKORYUK,MEKORYUK,PU,PU,STATE OF AK DOTPF/CE REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0747,DAVID CUMMINGS,BOX 505,"BETHEL, AK 99559",    907-543-2495,60-22-17.1120N,217337.1120N,166-16-14.1900W,598574.1900W,E,48,E,13E,2005,,BETHEL,3,W,575,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,MYU,Y,10/1/60,O,,NGY,NO OBJECTION,N,N,N,Y,S,C,8262005,,,NONE,NONE,NONE,NONE,,SEE RMK,N,,122.9,Y,CG,N,,0,0,0,0,,,,,,,,,,8/26/05,,,REGION,00:00.0,,,,Y-L
50492.*A,AIRPORT,MDO,9/20/12,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,MIDDLETON ISLAND,MIDDLETON ISLAND,PU,PU,UNKNOWN,,"ANCHORAGE, AK",,,,"ANCHORAGE, AK",,59-26-59.7970N,214019.7970N,146-18-26.0660W,526706.0660W,E,100,S,21E,2005,,SEWARD,1,S,5500,ZAN,ZAN,ANCHORAGE,,,,N,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,MDO,Y,1/1/49,O,,,NO OBJECTION,N,N,N,N,S,C,7272006,,,NONE,NONE,NONE,NONE,,,N,,122.9,N,,N,,,,,,,,,,,100,,50,,12/31/05,NACO,00:00.0,NACO,00:00.0,,,,Y
50497.*A,AIRPORT,MHM,9/20/12,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,MINCHUMINA,MINCHUMINA,PU,PU,STATE OF ALASKA DOT &PF,"NORTHERN REGION, 2301 PEGER ROAD","FAIRBANKS, AK 99709",    907-451-5230,JEREMY WORRALL,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-5230,63-53-09.5000N,229989.5000N,152-18-06.6000W,548286.6000W,E,682,S,21E,2005,,MC GRATH,0,SE,674,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,MHM,Y,8/1/47,O,,N,NO OBJECTION,N,N,N,Y,C,C,8262011,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.9,N,CG,N,,2,0,0,0,,,,,,40,100,1000,,9/25/09,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,CARGO,Y-L
50524.*A,AIRPORT,ENN,9/20/12,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,NENANA,NENANA MUNI,PU,PU,CITY OF NENANA,BOX 70,"NENANA, AK 99760",    907-832-5441,JASON MAYRAND,BOX 70,"NENANA, AK 99760",    907-832-5501,64-32-50.3851N,232370.3851N,149-04-26.3107W,536666.3107W,E,362,S,21E,2010,,FAIRBANKS,1,S,1030,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,ENN,Y,4/1/49,O,,NGPY,NO OBJECTION,N,N,N,Y,C,C,5312010,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.1,Y,CG,N,,15,0,0,0,,,,,,2500,1500,2000,,5/31/10,NACO,00:00.0,NACO,00:00.0,,TIE,,Y-L
50544.*A,AIRPORT,ORT,9/20/12,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,NORTHWAY,NORTHWAY,PU,PU,STATE OF ALASKA DOTPF/N. RGN,2301 PEGER RD.,"FAIRBANKS, AK 99709",    907-451-2200,DENNIS BISHOP,BOX 356,"TOK, AK 99780",    907-883-5128,62-57-40.2243N,226660.2243N,141-55-41.0807W,510941.0807W,E,1715,S,24E,2005,,ANCHORAGE,0,S,1150,ZAN,ZAN,ANCHORAGE,,,,Y,ORT,NORTHWAY,907-778-2219,1-800-478-6611,FAI,FAIRBANKS,1-866-248-6516,ORT,Y,7/1/47,O,,NGY,NO OBJECTION,N,Y,N,,F,C,5282010,,,,,,,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,0,0,0,0,,,,,,4000,3500,8000,300,12/31/05,ADO,00:00.0,ADO,00:00.0,,HGR,CARGO,Y-L
