iata_code,icao_code,name,call_sign,country,comments
S5,TCF,Shuttle America,MERCURY,United States,
TI,TOL,Tol-Air Services,TOL AIR,United States,
AX,LOF,Trans States Airlines,WATERSKI,United States,
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States,
U5,GWY,USA3000 Airlines,GETAWAY,United States,
UA,UAL,United Airlines,UNITED,United States,
U2,UFS,United Feeder Service,FEEDER EXPRESS,United States,formerly part ofÂ¬â€ United Express
U7,JUS,USA Jet Airlines,JET USA,United States,
5X,UPS,United Parcel Service,UPS,United States,
US,AWE,US Airways,CACTUS,United States,
UH,USH,US Helicopter,US-HELI,United States,
J7,VJA,ValuJet Airlines,CRITTER,United States,Now operating as AirTran Airways. J7 Reassigned.
VX,VRD,Virgin America,REDWOOD,United States,
CN,WWD,Westward Airways,WESTWARD,United States,
K5,WAK,Wings of Alaska,WINGS ALASKA,United States,
WO,WOA,World Airways,WORLD,United States,
8V,WRF,Wright Air Service,WRIGHT FLYER,United States,
XP,CXP,Xtra Airways,CASINO EXPRESS,United States,
